
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-02-24;33.087,13;2505727572268;35.278,21;4146359242852;31.606,93;3787489409871;34.859,83;226816033860;55.070,17;246913440345;32.447,77;2809752263064
2015-02-25;33.112,60;2502238877807;35.293,91;4137886688830;31.627,10;3785246384058;34.896,59;226876980069;55.098,82;246676117735;32.458,69;2809506956391
2015-02-26;33.108,71;2498101158217;35.292,74;4131967903159;31.637,34;3783327107715;34.881,21;226623927242;55.097,41;246494782843;32.468,81;2809321671187
2015-02-27;33.108,52;2495129852016;35.302,52;4120629901701;31.653,99;3778549736499;34.915,89;226781909959;55.109,60;246204180457;32.454,69;2804629480453
2015-02-28;33.108,52;2495129852016;35.302,52;4120629901701;31.653,99;3778549736499;34.915,89;226781909959;55.109,60;246204180457;32.454,69;2804629480453
2015-03-01;33.108,52;2495129852016;35.302,52;4120629901701;31.653,99;3778549736499;34.915,89;226781909959;55.109,60;246204180457;32.454,69;2804629480453
2015-03-02;33.116,08;2489258006208;35.310,13;4108300269534;31.667,05;3769205331910;34.940,64;226018456327;55.128,01;244383500193;32.464,94;2803425150829
2015-03-03;33.109,93;2486104606494;35.308,06;4097162139487;31.664,34;3763675838831;34.937,23;225873326660;55.133,24;247143628905;32.469,00;2801315793733
2015-03-04;33.101,66;2482061748792;35.305,57;4084385786451;31.656,88;3761177363289;34.942,40;225809018330;55.120,86;247154349352;32.447,41;2797398198471
2015-03-05;33.109,60;2481035133628;35.312,78;4078320491831;31.652,69;3757000394843;34.937,37;225701365917;55.122,59;246981933385;32.464,05;2798355420297
2015-03-06;33.127,27;2480608561650;35.331,72;4073621304930;31.672,10;3757540667775;34.967,20;225773441709;55.146,97;247116992160;32.485,76;2801138257119
2015-03-07;33.127,27;2480608561650;35.331,72;4073621304930;31.672,10;3757540667775;34.967,20;225773441709;55.146,97;247116992160;32.485,76;2801138257119
2015-03-08;33.127,27;2480608561650;35.331,72;4073621304930;31.672,10;3757540667775;34.967,20;225773441709;55.146,97;247116992160;32.485,76;2801138257119
2015-03-09;33.118,28;2479304460394;35.338,96;4071177770928;31.661,74;3755713954349;34.971,49;225807455481;55.145,86;247325443933;32.445,90;2797347126470
2015-03-10;33.131,53;2479370721833;35.345,33;4069781689110;31.660,96;3756064425546;34.991,98;225864759091;55.171,06;247578609362;32.450,03;2798151548688
2015-03-11;33.136,38;2478946264620;35.330,59;4060622465864;31.650,64;3748999692181;34.999,25;225757653301;55.169,69;247735687348;32.453,62;2798559789866
2015-03-12;33.156,89;2484199731375;35.369,08;4072266452373;31.656,58;3757224774021;35.026,06;226917116796;55.188,07;248461004066;32.471,67;2805756729091
2015-03-13;33.179,92;2490789290595;35.381,74;4079375546619;31.675,48;3772817550384;35.048,56;227304733626;55.219,01;248814132957;32.480,06;2815809670119
2015-03-14;33.179,92;2490789290595;35.381,74;4079375546619;31.675,48;3772817550384;35.048,56;227304733626;55.219,01;248814132957;32.480,06;2815809670119
2015-03-15;33.179,92;2490789290595;35.381,74;4079375546619;31.675,48;3772817550384;35.048,56;227304733626;55.219,01;248814132957;32.480,06;2815809670119
2015-03-16;33.235,02;2498081545779;35.434,43;4089713327255;31.710,40;3789894359820;35.081,37;226988214252;55.282,06;247845756026;32.517,84;2820612286887
2015-03-17;33.246,31;2502005482841;35.440,66;4094916743284;31.715,86;3791147289128;35.091,75;227015343541;55.293,32;247776945542;32.510,62;2821556052319
2015-03-18;33.247,94;2502105633154;35.443,93;4093257115858;31.708,13;3788693555956;35.072,84;227115206614;55.293,85;247861915472;32.511,48;2820105598866
2015-03-19;33.240,03;2502772243256;35.414,84;4090161506527;31.700,67;3788440877026;35.107,60;227497296448;55.288,46;250232849160;32.504,06;2819833591187
2015-03-20;33.237,22;2498044316218;35.404,68;4082583984940;31.696,54;3780812373806;35.109,27;227087101207;55.273,53;249872546287;32.491,87;2817469801899
2015-03-21;33.237,22;2498044316218;35.404,68;4082583984940;31.696,54;3780812373806;35.109,27;227087101207;55.273,53;249872546287;32.491,87;2817469801899
2015-03-22;33.237,22;2498044316218;35.404,68;4082583984940;31.696,54;3780812373806;35.109,27;227087101207;55.273,53;249872546287;32.491,87;2817469801899
2015-03-23;33.241,64;2498223316426;35.417,18;4080346421442;31.694,69;3775382605056;35.106,97;227060773005;55.286,58;249322807337;32.500,64;2816805292984
2015-03-24;33.179,13;2429663273095;35.351,26;3958512158521;31.644,21;3580517443807;35.076,68;216600486114;55.216,48;243740763808;32.478,38;2767218468335
2015-03-25;33.171,98;2371755478316;35.336,62;3762712211551;31.629,31;3405826670706;35.068,04;208709149235;55.214,65;239124010536;32.472,56;2724633899313
2015-03-26;33.151,36;2348931488023;35.311,63;3697339511218;31.616,90;3351808938919;35.039,59;205677434449;55.174,05;237390643562;32.462,35;2708226898312
2015-03-27;33.148,47;2330930278966;35.313,91;3655767866142;31.608,32;3316253243880;35.035,99;203535176790;55.168,95;236236945863;32.466,66;2688729764709
2015-03-28;33.148,47;2330930278966;35.313,91;3655767866142;31.608,32;3316253243880;35.035,99;203535176790;55.168,95;236236945863;32.466,66;2688729764709
2015-03-29;33.148,47;2330930278966;35.313,91;3655767866142;31.608,32;3316253243880;35.035,99;203535176790;55.168,95;236236945863;32.466,66;2688729764709
2015-03-30;33.158,36;2327597653860;35.323,40;3648249507195;31.613,64;3313152552555;35.046,89;203422874483;55.187,10;236377528121;32.472,51;2686053434900
2015-03-31;33.194,17;2327129145228;35.373,15;3650631609748;31.639,47;3312216160689;35.099,23;203517673827;55.249,21;236468829724;32.510,02;2688001454015
2015-04-01;33.184,16;2313566015092;35.365,71;3648916420647;31.633,02;3315392495026;35.096,80;202185145428;55.223,03;233572893983;32.493,36;2686269707815
2015-04-02;33.177,21;2313414034748;35.351,49;3643912912403;31.616,17;3311921913095;35.075,72;202252797463;55.199,86;233564903301;32.487,31;2685297601489
2015-04-03;33.177,21;2313414034748;35.351,49;3643912912403;31.616,17;3311921913095;35.075,72;202252797463;55.199,86;233564903301;32.487,31;2685297601489
2015-04-04;33.177,21;2313414034748;35.351,49;3643912912403;31.616,17;3311921913095;35.075,72;202252797463;55.199,86;233564903301;32.487,31;2685297601489
2015-04-05;33.177,21;2313414034748;35.351,49;3643912912403;31.616,17;3311921913095;35.075,72;202252797463;55.199,86;233564903301;32.487,31;2685297601489
2015-04-06;33.175,63;2312867131540;35.347,96;3638448513063;31.621,88;3309571399620;35.084,54;202198827201;55.215,31;235848192248;32.496,51;2685125685871
2015-04-07;33.177,40;2314374200744;35.348,24;3636493508681;31.608,61;3308011291573;35.082,76;202291053146;55.210,67;235940579443;32.492,91;2685289591361
2015-04-08;33.178,93;2315374014237;35.354,65;3636216394337;31.616,91;3311193447975;35.103,86;202340818529;55.222,13;236182851625;32.509,69;2687406925991
2015-04-09;33.167,22;2311402552740;35.321,89;3629693082310;31.600,05;3308437357681;35.062,76;202030125867;55.170,47;235692706607;32.466,70;2683009150819
2015-04-10;33.173,26;2312152081909;35.331,16;3627288245971;31.609,84;3302939297309;35.059,46;202028212565;55.186,03;235629462496;32.480,69;2683142662006
2015-04-11;33.173,26;2312152081909;35.331,16;3627288245971;31.609,84;3302939297309;35.059,46;202028212565;55.186,03;235629462496;32.480,69;2683142662006
2015-04-12;33.173,26;2312152081909;35.331,16;3627288245971;31.609,84;3302939297309;35.059,46;202028212565;55.186,03;235629462496;32.480,69;2683142662006
2015-04-13;33.216,71;2315113199529;35.388,19;3625943172457;31.661,89;3306901967227;35.119,28;202259387463;55.275,98;236087452925;32.539,79;2688291466054
2015-04-14;33.226,97;2313899418702;35.395,51;3627261086578;31.660,76;3303049765980;35.103,54;202366750112;55.266,33;235856508656;32.542,60;2689477492612
2015-04-15;33.175,76;2307511822078;35.345,51;3615522984390;31.624,80;3297696304550;35.053,84;201359707656;55.196,00;232728000967;32.503,05;2680682696619
2015-04-16;33.195,20;2307599137514;35.360,21;3607438685100;31.648,30;3293769827037;35.072,96;201196868788;55.228,05;232366632493;32.530,38;2681574147500
2015-04-17;33.168,80;2302493834356;35.333,85;3596964006184;31.633,20;3286242485428;35.053,03;200455209400;55.186,98;234264942389;32.493,75;2677607879330
2015-04-18;33.168,80;2302493834356;35.333,85;3596964006184;31.633,20;3286242485428;35.053,03;200455209400;55.186,98;234264942389;32.493,75;2677607879330
2015-04-19;33.168,80;2302493834356;35.333,85;3596964006184;31.633,20;3286242485428;35.053,03;200455209400;55.186,98;234264942389;32.493,75;2677607879330
2015-04-20;33.128,11;2297069603594;35.306,73;3588808055721;31.605,84;3274619125095;35.003,28;199970873678;55.130,15;233738313786;32.452,39;2672110408959
2015-04-21;33.138,71;2295183253879;35.334,13;3588106755844;31.610,24;3272170952568;35.015,24;199988575633;55.138,86;233647776230;32.432,03;2669080957330
2015-04-22;33.146,29;2295460383558;35.334,86;3584153534367;31.622,80;3272915527314;35.031,39;200006981835;55.158,00;233442407613;32.445,62;2669831750461
2015-04-23;33.160,00;2299442760257;35.332,33;3590073495227;31.631,08;3280555437973;35.041,63;200312460707;55.176,71;234048363922;32.497,71;2680132502642
2015-04-24;33.171,34;2301858415540;35.345,46;3591447354040;31.636,02;3280349310759;35.048,17;200281320102;55.193,43;233841018370;32.501,08;2683469477657
2015-04-25;33.171,34;2301858415540;35.345,46;3591447354040;31.636,02;3280349310759;35.048,17;200281320102;55.193,43;233841018370;32.501,08;2683469477657
2015-04-26;33.171,34;2301858415540;35.345,46;3591447354040;31.636,02;3280349310759;35.048,17;200281320102;55.193,43;233841018370;32.501,08;2683469477657
2015-04-27;33.180,83;2302793380401;35.361,27;3583920125927;31.658,82;3278833011127;35.071,92;200552351579;55.215,67;233914574365;32.528,54;2688572022342
2015-04-28;33.171,27;2303226822125;35.353,66;3581519086168;31.649,92;3278214537073;35.062,71;200402662230;55.204,47;234089864267;32.505,18;2689295989971
2015-04-29;33.159,59;2299086036517;35.344,75;3577972826047;31.642,85;3272373661240;35.065,66;200171412606;55.196,27;233706183870;32.490,99;2688376795146
2015-04-30;33.158,33;2295952373118;35.327,33;3574907991656;31.647,07;3268461295945;35.075,31;200136706760;55.197,58;233589915644;32.486,71;2689920442769
2015-05-01;33.158,33;2295952373118;35.327,33;3574907991656;31.647,07;3268461295945;35.075,31;200136706760;55.197,58;233589915644;32.486,71;2689920442769
2015-05-02;33.158,33;2295952373118;35.327,33;3574907991656;31.647,07;3268461295945;35.075,31;200136706760;55.197,58;233589915644;32.486,71;2689920442769
2015-05-03;33.158,33;2295952373118;35.327,33;3574907991656;31.647,07;3268461295945;35.075,31;200136706760;55.197,58;233589915644;32.486,71;2689920442769
2015-05-04;33.181,08;2286705252435;35.356,84;3567891388965;31.667,45;3264039823987;35.104,34;200534044809;55.234,75;232104792493;32.532,32;2690149959932
2015-05-05;33.204,44;2279437921765;35.386,94;3565129538269;31.688,22;3262704774242;35.129,97;200013632385;55.268,76;232109555568;32.540,10;2689161043771
2015-05-06;33.145,12;2269271836528;35.297,88;3554731452330;31.629,76;3255304822416;35.100,02;199627580455;55.184,68;233670356938;32.486,77;2684587001851
2015-05-07;33.095,07;2264077605370;35.246,90;3545248459928;31.580,47;3250087395676;35.081,31;199528936386;55.132,92;233482738239;32.407,14;2678229765557
2015-05-08;33.048,08;2256722176145;35.189,60;3536488304650;31.529,61;3239931066821;35.057,26;199290069920;55.084,34;233069111260;32.390,34;2672786348125
2015-05-09;33.048,08;2256722176145;35.189,60;3536488304650;31.529,61;3239931066821;35.057,26;199290069920;55.084,34;233069111260;32.390,34;2672786348125
2015-05-10;33.048,08;2256722176145;35.189,60;3536488304650;31.529,61;3239931066821;35.057,26;199290069920;55.084,34;233069111260;32.390,34;2672786348125
2015-05-11;33.091,88;2259073614680;35.249,75;3537079387941;31.571,48;3240328842418;35.122,11;199959218511;55.172,95;233340815802;32.440,94;2675594305320
2015-05-12;33.085,36;2261762264853;35.254,75;3525336186605;31.569,97;3228553826940;35.125,78;200205249577;55.168,48;233551223413;32.455,20;2674204751457
2015-05-13;33.030,86;2255257074024;35.163,50;3515577877340;31.492,40;3219412937546;35.110,02;200487370485;55.059,38;233420846780;32.329,69;2665384283173
2015-05-14;33.024,61;2254992628468;35.168,84;3513199164674;31.491,77;3218306480210;35.112,61;200307907817;55.059,98;233342151285;32.325,15;2662333467266
2015-05-15;32.943,30;2242283266083;35.084,60;3497069699820;31.379,50;3199006095611;35.020,98;199516223998;54.992,17;230616082974;32.313,68;2649464303217
2015-05-16;32.943,30;2242283266083;35.084,60;3497069699820;31.379,50;3199006095611;35.020,98;199516223998;54.992,17;230616082974;32.313,68;2649464303217
2015-05-17;32.943,30;2242283266083;35.084,60;3497069699820;31.379,50;3199006095611;35.020,98;199516223998;54.992,17;230616082974;32.313,68;2649464303217
2015-05-18;32.974,45;2244207025653;35.108,64;3493771123931;31.402,53;3198356223063;35.040,48;199476605870;55.033,83;230869237179;32.331,15;2651183186008
2015-05-19;32.982,26;2298899245212;35.130,90;3648081236390;31.414,50;3357750280671;35.046,38;209034308464;55.042,47;235482497319;32.338,01;2686410180769
2015-05-20;32.986,31;2325481370396;35.147,93;3715029896434;31.432,82;3461759266303;35.055,60;215097045842;55.061,39;241117697059;32.349,40;2711746192068
2015-05-21;32.986,31;2325481370396;35.147,93;3715029896434;31.432,82;3461759266303;35.055,60;215097045842;55.061,39;241117697059;32.349,40;2711746192068
2015-05-22;32.997,89;2337650612181;35.152,20;3748803021067;31.440,21;3490500240182;35.069,64;217219648596;55.080,84;242740977599;32.361,73;2721057475970
2015-05-23;32.997,89;2337650612181;35.152,20;3748803021067;31.440,21;3490500240182;35.069,64;217219648596;55.080,84;242740977599;32.361,73;2721057475970
2015-05-24;32.997,89;2337650612181;35.152,20;3748803021067;31.440,21;3490500240182;35.069,64;217219648596;55.080,84;242740977599;32.361,73;2721057475970
2015-05-25;33.029,46;2348032089781;35.184,92;3771856225077;31.477,23;3518750475787;35.090,17;219413171976;55.111,34;243909028784;32.390,45;2730502258381
2015-05-26;33.041,25;2349262176324;35.182,20;3770623025817;31.498,17;3522540161387;35.107,30;219791625715;55.135,02;244139069974;32.399,77;2732070239147
2015-05-27;33.046,44;2349245733772;35.181,25;3767921449583;31.505,67;3524102842403;35.114,26;219577543037;55.139,57;244130005842;32.395,11;2733911674181
2015-05-28;33.077,97;2350431699391;35.219,33;3771239300499;31.535,08;3521783641062;35.145,68;219633379212;55.179,89;244383965888;32.419,34;2736069368982
2015-05-29;33.090,56;2350796018240;35.218,65;3768154615528;31.537,16;3520299569269;35.174,37;219725279436;55.190,36;244335839916;32.428,86;2736504306615
2015-05-30;33.090,56;2350796018240;35.218,65;3768154615528;31.537,16;3520299569269;35.174,37;219725279436;55.190,36;244335839916;32.428,86;2736504306615
2015-05-31;33.090,56;2350796018240;35.218,65;3768154615528;31.537,16;3520299569269;35.174,37;219725279436;55.190,36;244335839916;32.428,86;2736504306615
2015-06-01;33.109,71;2341060580595;35.249,40;3770046441306;31.569,25;3519201678521;35.186,54;220234898864;55.219,07;242294118866;32.437,54;2731542052678
2015-06-02;33.132,37;2338669619414;35.270,65;3768152538339;31.586,69;3516082942902;35.204,63;219994364038;55.246,53;242472734127;32.455,41;2731973935183
2015-06-03;33.125,14;2336537256490;35.252,81;3761032724122;31.573,75;3514238419807;35.203,76;219839363971;55.247,53;242199826797;32.435,31;2728928907162
2015-06-04;33.145,90;2336897607188;35.271,80;3758564728474;31.584,97;3514408486199;35.215,63;219951569571;55.265,28;244431796520;32.437,15;2728451932864
2015-06-05;33.146,42;2336361148757;35.279,85;3754897442803;31.573,46;3511754374758;35.211,82;219638499394;55.259,11;244359450353;32.440,13;2727454760169
2015-06-06;33.146,42;2336361148757;35.279,85;3754897442803;31.573,46;3511754374758;35.211,82;219638499394;55.259,11;244359450353;32.440,13;2727454760169
2015-06-07;33.146,42;2336361148757;35.279,85;3754897442803;31.573,46;3511754374758;35.211,82;219638499394;55.259,11;244359450353;32.440,13;2727454760169
2015-06-08;33.195,00;2337369004242;35.318,07;3758519190445;31.613,08;3515930306199;35.252,53;219933311101;55.313,47;244354364099;32.460,30;2725232764832
2015-06-09;33.185,48;2334777324339;35.310,40;3753045190637;31.608,19;3513734137454;35.241,06;219861151381;55.303,73;244389018064;32.444,95;2722266669293
2015-06-10;33.145,02;2332106354774;35.285,38;3748843401663;31.578,60;3510022780152;35.224,06;219629489673;55.243,41;244325717249;32.402,49;2717919645358
2015-06-11;33.123,62;2331794325393;35.263,84;3740616545718;31.564,72;3505678267033;35.246,92;219961755344;55.213,04;244316153268;32.345,15;2712111059362
2015-06-12;33.131,54;2330667885547;35.265,03;3743416063288;31.552,12;3499203314119;35.263,10;220362871770;55.234,43;244806140781;32.345,99;2710725698111
2015-06-13;33.131,54;2330667885547;35.265,03;3743416063288;31.552,12;3499203314119;35.263,10;220362871770;55.234,43;244806140781;32.345,99;2710725698111
2015-06-14;33.131,54;2330667885547;35.265,03;3743416063288;31.552,12;3499203314119;35.263,10;220362871770;55.234,43;244806140781;32.345,99;2710725698111
2015-06-15;33.105,59;2326529675344;35.212,25;3739137738865;31.509,20;3504866565750;35.201,75;220332099553;55.185,05;242580447876;32.325,83;2708446221074
2015-06-16;33.101,40;2325452136231;35.217,44;3742696690504;31.513,22;3504049988768;35.213,09;220794872147;55.191,89;243012891533;32.331,84;2711736981188
2015-06-17;33.120,83;2319448252165;35.230,43;3741196205060;31.523,48;3504019769544;35.228,93;220773680088;55.214,57;245685023225;32.342,42;2711264623662
2015-06-18;33.133,57;2321023568221;35.235,67;3740769563699;31.532,00;3504742795896;35.253,69;220573781964;55.232,96;245847246455;32.342,79;2710936396335
2015-06-19;33.114,79;2319700314778;35.221,97;3738775113774;31.507,04;3504641920721;35.259,16;220715157364;55.215,30;245935046775;32.322,93;2709604213627
2015-06-20;33.114,79;2319700314778;35.221,97;3738775113774;31.507,04;3504641920721;35.259,16;220715157364;55.215,30;245935046775;32.322,93;2709604213627
2015-06-21;33.114,79;2319700314778;35.221,97;3738775113774;31.507,04;3504641920721;35.259,16;220715157364;55.215,30;245935046775;32.322,93;2709604213627
2015-06-22;33.140,25;2322393517249;35.244,41;3741107349958;31.540,86;3507601085825;35.274,11;220698562344;55.251,36;246016715978;32.348,95;2713218941831
2015-06-23;33.161,73;2329680613218;35.263,93;3740821919750;31.560,28;3507000213254;35.294,51;220736246404;55.283,72;246209203415;32.373,64;2710193783899
2015-06-24;33.169,18;2326283064583;35.267,71;3733081211786;31.560,46;3501755345272;35.300,24;220454669486;55.299,36;246067925255;32.391,52;2708458231364
2015-06-25;33.156,28;2325278269028;35.252,93;3727431095493;31.550,31;3503465338389;35.298,42;220929859882;55.271,64;246162993542;32.371,97;2707664580304
2015-06-26;33.132,37;2314680232943;35.230,73;3721407644460;31.540,30;3497865348085;35.283,70;220645122108;55.250,52;246168407696;32.360,79;2700025136324
