
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-02-08;31.203,38;7617349961613;36.482,88;6919830721988;35.226,72;9819483776922;34.538,21;357876263010;63.992,63;1213533910921;31.302,73;11977960694650
2015-02-09;31.135,59;7602638326205;36.416,78;6909576019461;35.144,64;9799490387436;34.499,48;357608785662;63.892,94;1211897577521;31.249,60;11958972573444
2015-02-10;31.122,39;7601117635887;36.389,01;6908103878517;35.108,49;9788027152149;34.483,63;357712052835;63.849,32;1211346048616;31.231,13;11953411239025
2015-02-11;31.155,09;7611207344633;36.419,33;6914544180566;35.136,44;9800910601437;34.496,16;358480725892;63.894,99;1212765221045;31.247,30;11963563399504
2015-02-12;31.190,67;7621226031905;36.464,81;6932616403491;35.172,11;9818870894755;34.501,56;360701640383;63.928,89;1214552776217;31.270,19;11981254087359
2015-02-13;31.297,24;7655362731298;36.588,03;6961069728412;35.287,75;9865459952417;34.631,37;363156507632;64.150,00;1218551481227;31.382,42;12032838024576
2015-02-14;31.297,24;7655362731298;36.588,03;6961069728412;35.287,75;9865459952417;34.631,37;363156507632;64.150,00;1218551481227;31.382,42;12032838024576
2015-02-15;31.297,24;7655362731298;36.588,03;6961069728412;35.287,75;9865459952417;34.631,37;363156507632;64.150,00;1218551481227;31.382,42;12032838024576
2015-02-16;31.248,93;7649775647979;36.549,48;6967890103901;35.247,31;9863585964387;34.595,08;365311549120;64.115,15;1215335716585;31.335,87;12021328082388
2015-02-17;31.273,11;7658373893761;36.585,99;6980082421688;35.280,59;9873265422354;34.620,90;365879021648;64.157,21;1216636568606;31.359,51;12036244226992
2015-02-18;31.260,48;7658486591526;36.574,61;6990089920828;35.265,13;9883917492496;34.614,11;366213810938;64.126,58;1219870095968;31.340,97;12032049136223
2015-02-19;31.317,79;7673920523677;36.634,82;7011946232241;35.325,74;9907215494670;34.671,99;366893372969;64.228,01;1221828853761;31.392,83;12052041034299
2015-02-20;31.344,88;7682155060092;36.659,49;7026128343568;35.351,00;9931999157749;34.696,34;367109547083;64.274,52;1222998964056;31.418,35;12063801737082
