
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-02-04;26.788,18;3597550855964;28.273,92;2698045786772;28.332,52;3854210060433;26.861,05;138423838148;26.343,41;611450293332;26.722,83;5321832115387
2015-02-05;26.802,08;3599114007437;28.297,20;2699597638219;28.341,50;3853573034009;26.880,42;138532541918;26.355,48;612314528862;26.731,10;5324624794295
2015-02-06;26.824,07;3602544293943;28.312,40;2700787592600;28.360,75;3856430501398;26.907,05;138652095624;26.375,40;612580161919;26.744,64;5326294358830
2015-02-07;26.824,07;3602544293943;28.312,40;2700787592600;28.360,75;3856430501398;26.907,05;138652095624;26.375,40;612580161919;26.744,64;5326294358830
2015-02-08;26.824,07;3602544293943;28.312,40;2700787592600;28.360,75;3856430501398;26.907,05;138652095624;26.375,40;612580161919;26.744,64;5326294358830
2015-02-09;26.795,78;3598958317773;28.306,24;2699205487807;28.325,11;3850344543820;26.919,19;138675179868;26.357,89;612170022581;26.740,21;5324919569885
2015-02-10;26.795,96;3598883069368;28.300,79;2699358556387;28.305,43;3838863010669;26.927,54;138779726518;26.356,62;612218133426;26.736,73;5321281387882
2015-02-11;26.825,94;3602334783878;28.324,37;2697731070483;28.334,75;3843418349934;26.933,81;138724400629;26.379,36;612630385309;26.756,21;5323771735242
2015-02-12;26.841,57;3596344973738;28.346,81;2700225766699;28.351,07;3845346330930;26.916,80;138992727630;26.382,26;613023521939;26.763,34;5326481906523
2015-02-13;26.904,95;3606258620046;28.399,85;2705985847963;28.411,04;3856603926681;26.990,04;139098500433;26.441,34;612644031192;26.819,09;5334537139851
2015-02-14;26.904,95;3606258620046;28.399,85;2705985847963;28.411,04;3856603926681;26.990,04;139098500433;26.441,34;612644031192;26.819,09;5334537139851
2015-02-15;26.904,95;3606258620046;28.399,85;2705985847963;28.411,04;3856603926681;26.990,04;139098500433;26.441,34;612644031192;26.819,09;5334537139851
2015-02-16;26.875,01;3602750714932;28.386,93;2705477240635;28.397,60;3855511129137;26.973,97;139334939311;26.432,08;612082614932;26.798,59;5329325714990
2015-02-17;26.883,21;3604810968602;28.410,72;2708301913208;28.417,67;3857747642507;26.985,70;138970729858;26.440,57;612082683851;26.811,44;5326704143703
2015-02-18;26.885,45;3604496219907;28.413,54;2708411512875;28.419,24;3859431100098;26.991,38;139013351203;26.438,86;612847323829;26.806,99;5325064834239
2015-02-19;26.922,48;3608563859657;28.441,39;2710957835790;28.453,13;3862931363900;27.017,16;139008987089;26.471,21;613555458118;26.840,79;5332343210070
2015-02-20;26.947,43;3611279707231;28.458,47;2712587579352;28.468,24;3865175012505;27.027,52;138981387355;26.481,34;613999619364;26.857,75;5333922828351
2015-02-21;26.947,43;3611279707231;28.458,47;2712587579352;28.468,24;3865175012505;27.027,52;138981387355;26.481,34;613999619364;26.857,75;5333922828351
2015-02-22;26.947,43;3611279707231;28.458,47;2712587579352;28.468,24;3865175012505;27.027,52;138981387355;26.481,34;613999619364;26.857,75;5333922828351
2015-02-23;26.930,29;3609554454302;28.439,92;2711224538888;28.450,31;3861739051127;27.011,93;138718672753;26.470,48;613658447525;26.842,21;5331822510355
2015-02-24;26.977,64;3615521417074;28.495,37;2716420525591;28.502,38;3867417739283;27.063,76;138988601269;26.511,43;614607950107;26.888,76;5341018389998
2015-02-25;27.017,67;3621131656788;28.530,28;2717698514726;28.535,75;3871308959632;27.099,04;139178886210;26.542,31;615296290694;26.925,87;5347815737572
2015-02-26;26.989,22;3611784877466;28.502,78;2715886467274;28.518,30;3867964595222;27.065,73;139016792148;26.523,10;615151126985;26.901,48;5343671371597
2015-02-27;26.980,31;3635448933656;28.496,41;2729203176954;28.519,99;3893854672553;27.067,35;139272424482;26.517,50;619660026604;26.890,63;5382381421889
2015-02-28;26.980,31;3635448933656;28.496,41;2729203176954;28.519,99;3893854672553;27.067,35;139272424482;26.517,50;619660026604;26.890,63;5382381421889
2015-03-01;26.980,31;3635448933656;28.496,41;2729203176954;28.519,99;3893854672553;27.067,35;139272424482;26.517,50;619660026604;26.890,63;5382381421889
2015-03-02;27.005,65;3637503239703;28.519,16;2732036140138;28.549,38;3895881291364;27.102,59;139515834398;26.541,45;619526338353;26.917,67;5383908603069
2015-03-03;26.999,45;3638712291423;28.513,29;2730083542500;28.540,59;3893995770178;27.093,10;139508212788;26.537,02;619572155768;26.913,49;5381981020491
2015-03-04;26.986,52;3639372781036;28.499,63;2726451982962;28.526,00;3891277994245;27.097,16;139425678579;26.529,01;619268559364;26.891,28;5376682807395
2015-03-05;26.981,73;3638548826727;28.497,58;2726363355188;28.517,55;3887945003822;27.083,47;139385398190;26.521,39;619077114099;26.893,61;5378626603289
2015-03-06;26.988,87;3639871822823;28.513,68;2728696437619;28.523,61;3888545885073;27.092,68;139379741448;26.530,61;619333530357;26.905,74;5380423203650
2015-03-07;26.988,87;3639871822823;28.513,68;2728696437619;28.523,61;3888545885073;27.092,68;139379741448;26.530,61;619333530357;26.905,74;5380423203650
2015-03-08;26.988,87;3639871822823;28.513,68;2728696437619;28.523,61;3888545885073;27.092,68;139379741448;26.530,61;619333530357;26.905,74;5380423203650
