
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-02-09;30.029,66;3528207541136;31.326,08;3183940558568;31.155,12;4547985843317;29.887,52;729574820314;30.621,04;419019806083;29.987,26;4440353097330
2015-02-10;29.996,97;3525714569554;31.288,98;3182934400402;31.112,71;4543103930500;29.857,18;729961773298;30.585,88;418764355495;29.953,40;4436438988572
2015-02-11;30.037,85;3531910978024;31.327,39;3189312361725;31.146,77;4550470171272;29.879,61;733067553279;30.622,09;419692262146;29.986,39;4443251362012
2015-02-12;30.069,66;3539261787727;31.364,26;3197020380033;31.176,05;4558481670740;29.888,64;740409734218;30.636,80;421745231883;30.009,25;4453245622140
2015-02-13;30.204,27;3561588010180;31.492,81;3211049646380;31.317,24;4587043398590;30.038,32;746349436569;30.772,20;424047583227;30.140,00;4478238067342
2015-02-14;30.204,27;3561588010180;31.492,81;3211049646380;31.317,24;4587043398590;30.038,32;746349436569;30.772,20;424047583227;30.140,00;4478238067342
2015-02-15;30.204,27;3561588010180;31.492,81;3211049646380;31.317,24;4587043398590;30.038,32;746349436569;30.772,20;424047583227;30.140,00;4478238067342
2015-02-16;30.148,58;3555920137813;31.447,84;3204866999928;31.266,95;4582173403282;29.997,48;746604758340;30.745,36;421971443511;30.091,98;4474452490580
2015-02-17;30.175,92;3561666197319;31.485,95;3210448982631;31.298,91;4589037363376;30.027,87;750080135555;30.774,28;422816758292;30.119,43;4481994501347
2015-02-18;30.161,26;3569802569764;31.466,83;3238224948268;31.282,39;4627327972524;30.020,19;751111468835;30.757,72;425772068778;30.102,03;4485782054112
2015-02-19;30.226,88;3587329706114;31.531,91;3272795922009;31.346,31;4662958828766;30.079,36;753393500680;30.816,34;427111135053;30.165,17;4500683286949
2015-02-20;30.253,12;3597495999829;31.552,91;3287311956875;31.366,12;4679213763557;30.103,22;754474861866;30.841,33;427676825667;30.182,09;4505497262167
2015-02-21;30.253,12;3597495999829;31.552,91;3287311956875;31.366,12;4679213763557;30.103,22;754474861866;30.841,33;427676825667;30.182,09;4505497262167
2015-02-22;30.253,12;3597495999829;31.552,91;3287311956875;31.366,12;4679213763557;30.103,22;754474861866;30.841,33;427676825667;30.182,09;4505497262167
2015-02-23;30.191,98;3592713317111;31.495,52;3284653098093;31.303,62;4673349802980;30.043,42;753192896840;30.798,50;427069624652;30.123,54;4498035263424
2015-02-24;30.316,80;3608314015186;31.621,09;3300101985089;31.428,23;4693589667327;30.166,41;756376638920;30.909,07;428680832403;30.240,22;4515662999529
2015-02-25;30.392,70;3618360084471;31.702,04;3309314424495;31.498,98;4704593202977;30.234,28;758274506010;30.969,47;429551938573;30.323,10;4528187029002
2015-02-26;30.310,55;3609692310785;31.619,28;3301457495457;31.418,39;4692839835623;30.148,41;756182081920;30.904,56;428997511171;30.242,13;4516138792060
2015-02-27;30.271,79;3604496261460;31.579,39;3303403571542;31.377,82;4683622678080;30.099,85;754996424155;30.864,18;427723683907;30.201,13;4501968180345
2015-02-28;30.271,79;3604496261460;31.579,39;3303403571542;31.377,82;4683622678080;30.099,85;754996424155;30.864,18;427723683907;30.201,13;4501968180345
2015-03-01;30.271,79;3604496261460;31.579,39;3303403571542;31.377,82;4683622678080;30.099,85;754996424155;30.864,18;427723683907;30.201,13;4501968180345
2015-03-02;30.316,38;3606911983024;31.624,12;3310697884014;31.423,94;4689523161662;30.153,09;755147053603;30.902,49;426156595542;30.247,25;4509987162611
2015-03-03;30.299,15;3604002210901;31.607,17;3309711680818;31.410,45;4687826848147;30.127,22;754941953693;30.887,42;428308819049;30.228,21;4507881213863
2015-03-04;30.274,13;3600502519420;31.579,40;3307413263074;31.383,08;4683952006738;30.114,02;754949449203;30.872,28;428037247522;30.197,35;4503562394347
2015-03-05;30.237,32;3596176163621;31.548,09;3304533359333;31.343,73;4677834718905;30.069,04;754043747164;30.832,98;427603246403;30.160,05;4498055889682
2015-03-06;30.198,30;3591962739186;31.509,49;3300185948447;31.302,80;4671051660993;30.020,23;752838450689;30.788,65;427048356886;30.120,87;4492157623902
2015-03-07;30.198,30;3591962739186;31.509,49;3300185948447;31.302,80;4671051660993;30.020,23;752838450689;30.788,65;427048356886;30.120,87;4492157623902
2015-03-08;30.198,30;3591962739186;31.509,49;3300185948447;31.302,80;4671051660993;30.020,23;752838450689;30.788,65;427048356886;30.120,87;4492157623902
2015-03-09;30.250,61;3598120661682;31.571,35;3306984817796;31.352,13;4678643374458;30.065,73;754501302918;30.830,04;427692286367;30.160,20;4498343106260
2015-03-10;30.236,24;3596624490412;31.553,24;3305111787826;31.331,67;4675710701408;30.044,26;754945336252;30.814,93;427635690794;30.146,87;4497125143578
2015-03-11;30.167,12;3590046638830;31.465,75;3297563001631;31.246,28;4664795450531;29.967,59;754996119529;30.729,95;426683291819;30.071,80;4487803207044
2015-03-12;30.259,97;3603641190503;31.564,80;3310403978023;31.341,33;4680537931364;30.043,16;763830276881;30.794,89;428379507333;30.172,23;4507475218880
2015-03-13;30.297,05;3612648392974;31.600,99;3313502075084;31.379,96;4690628802675;30.090,53;766798624050;30.841,79;429865558060;30.199,67;4514017099904
2015-03-14;30.297,05;3612648392974;31.600,99;3313502075084;31.379,96;4690628802675;30.090,53;766798624050;30.841,79;429865558060;30.199,67;4514017099904
2015-03-15;30.297,05;3612648392974;31.600,99;3313502075084;31.379,96;4690628802675;30.090,53;766798624050;30.841,79;429865558060;30.199,67;4514017099904
2015-03-16;30.336,78;3614864869713;31.646,73;3317810008566;31.406,86;4694127052570;30.118,84;769457377451;30.865,87;428732387016;30.234,06;4522232767960
2015-03-17;30.429,62;3627804316482;31.744,46;3328346358328;31.502,36;4711365116368;30.214,48;775459731039;30.962,97;430701638011;30.314,92;4538784879155
2015-03-18;30.474,86;3633185082954;31.796,58;3334050551064;31.556,31;4719593540261;30.265,46;776897435757;31.016,75;431440346698;30.364,05;4546059836472
2015-03-19;30.657,61;3654798192070;31.979,39;3351946043649;31.751,63;4747892563015;30.470,48;782287981713;31.181,98;436781569977;30.541,66;4572546386506
2015-03-20;30.591,08;3648364479503;31.913,78;3344561188952;31.671,94;4737101352419;30.396,01;780674768997;31.121,11;436208263309;30.481,17;4563485702553
2015-03-21;30.591,08;3648364479503;31.913,78;3344561188952;31.671,94;4737101352419;30.396,01;780674768997;31.121,11;436208263309;30.481,17;4563485702553
2015-03-22;30.591,08;3648364479503;31.913,78;3344561188952;31.671,94;4737101352419;30.396,01;780674768997;31.121,11;436208263309;30.481,17;4563485702553
2015-03-23;30.625,43;3653490056423;31.950,68;3348060407446;31.712,47;4744128172599;30.445,87;782168419809;31.170,59;437060658960;30.518,18;4569520297589
2015-03-24;30.425,47;3643926251023;31.731,67;3351392302694;31.505,23;4761415290410;30.247,49;778909122610;30.981,85;435534358209;30.329,23;4551008213445
2015-03-25;30.331,20;3646814649685;31.644,97;3391949231981;31.413,36;4791228997951;30.156,71;777966569930;30.891,85;435337896927;30.239,66;4545523381979
2015-03-26;30.158,65;3631706744320;31.469,88;3387190428460;31.239,78;4777075975689;29.981,12;773588234679;30.733,45;433203850974;30.065,88;4521956337281
2015-03-27;30.060,64;3624305109806;31.377,51;3385365543639;31.143,29;4772839659278;29.880,50;771399621945;30.636,31;432172912141;29.967,96;4513568645406
2015-03-28;30.060,64;3624305109806;31.377,51;3385365543639;31.143,29;4772839659278;29.880,50;771399621945;30.636,31;432172912141;29.967,96;4513568645406
2015-03-29;30.060,64;3624305109806;31.377,51;3385365543639;31.143,29;4772839659278;29.880,50;771399621945;30.636,31;432172912141;29.967,96;4513568645406
2015-03-30;30.154,23;3636411971415;31.476,83;3397486063593;31.244,97;4788644771219;29.983,89;774278535286;30.732,53;433703671240;30.057,87;4527497331621
2015-03-31;30.410,81;3666226223487;31.748,09;3431328591389;31.511,38;4820063682508;30.240,28;780627849249;30.967,40;436668920442;30.312,66;4553316543528
2015-04-01;30.386,41;3651400503416;31.722,40;3430285896069;31.478,35;4813596134772;30.216,06;779079781150;30.928,13;434353640378;30.288,41;4551461947618
2015-04-02;30.225,27;3630842137574;31.558,80;3411337530015;31.317,02;4787998375390;30.054,77;775174893652;30.782,67;432433188893;30.136,69;4528409043190
2015-04-03;30.225,27;3630842137574;31.558,80;3411337530015;31.317,02;4787998375390;30.054,77;775174893652;30.782,67;432433188893;30.136,69;4528409043190
2015-04-04;30.225,27;3630842137574;31.558,80;3411337530015;31.317,02;4787998375390;30.054,77;775174893652;30.782,67;432433188893;30.136,69;4528409043190
2015-04-05;30.225,27;3630842137574;31.558,80;3411337530015;31.317,02;4787998375390;30.054,77;775174893652;30.782,67;432433188893;30.136,69;4528409043190
2015-04-06;30.268,77;3635909395798;31.605,60;3415471895100;31.369,47;4795540267227;30.106,96;776576638116;30.833,16;436359972371;30.184,83;4535225567316
2015-04-07;30.259,25;3634614414503;31.599,57;3414065438219;31.359,53;4794103099330;30.107,78;776738069179;30.832,52;436432000205;30.182,81;4534810875190
2015-04-08;30.300,98;3638863126614;31.643,81;3418277324305;31.401,33;4799660700681;30.137,14;778008937714;30.869,63;436932652017;30.230,94;4541938852121
2015-04-09;30.501,28;3662890008115;31.855,63;3440280882257;31.611,89;4832575364232;30.335,69;783690315083;31.071,63;439760584736;30.430,33;4572512674806
2015-04-10;30.702,39;3687138825307;32.078,01;3464679820238;31.827,21;4866017530523;30.524,10;789508826366;31.258,85;442528089566;30.638,43;4604330402257
2015-04-11;30.702,39;3687138825307;32.078,01;3464679820238;31.827,21;4866017530523;30.524,10;789508826366;31.258,85;442528089566;30.638,43;4604330402257
2015-04-12;30.702,39;3687138825307;32.078,01;3464679820238;31.827,21;4866017530523;30.524,10;789508826366;31.258,85;442528089566;30.638,43;4604330402257
2015-04-13;30.954,48;3718951251047;32.334,26;3494366137256;32.082,49;4907047597011;30.789,19;798679415894;31.500,57;446599561258;30.879,14;4642401415944
2015-04-14;31.061,80;3736777706544;32.440,98;3511203014466;32.188,57;4930380681025;30.886,11;810610558599;31.590,80;448795108200;30.978,55;4666288807569
2015-04-15;30.794,59;3712184074334;32.172,06;3486432782089;31.922,69;4900462599280;30.619,71;808547733835;31.355,10;445268323248;30.728,72;4632475836412
2015-04-16;30.901,68;3725561143001;32.289,03;3500884440261;32.038,95;4917215902253;30.740,35;811995845784;31.451,93;446850273644;30.841,83;4652088556759
2015-04-17;30.838,14;3717658781636;32.210,00;3492308893320;31.974,41;4908250967831;30.678,49;810569157580;31.399,24;449796392271;30.776,53;4642474480251
2015-04-18;30.838,14;3717658781636;32.210,00;3492308893320;31.974,41;4908250967831;30.678,49;810569157580;31.399,24;449796392271;30.776,53;4642474480251
2015-04-19;30.838,14;3717658781636;32.210,00;3492308893320;31.974,41;4908250967831;30.678,49;810569157580;31.399,24;449796392271;30.776,53;4642474480251
2015-04-20;30.667,58;3697767942786;32.026,13;3472277139115;31.809,50;4883732223121;30.515,57;806527105424;31.243,48;448362283030;30.602,20;4616430149302
2015-04-21;30.718,92;3703763562420;32.083,38;3478141641423;31.848,05;4889402400785;30.565,89;807789466319;31.280,72;448937630018;30.647,55;4623217062589
2015-04-22;30.823,32;3714776274929;32.192,03;3489661352689;31.964,03;4907834671502;30.666,72;810786870915;31.381,90;450358818533;30.756,81;4639540021833
2015-04-23;30.946,02;3725020146066;32.313,22;3500608829987;32.091,18;4924733677039;30.778,12;813916312112;31.492,31;451965523585;30.890,84;4658353160191
2015-04-24;30.957,24;3722230772428;32.326,59;3502014289676;32.095,72;4924545320857;30.787,37;814365946144;31.502,35;452299869652;30.899,66;4658810867687
2015-04-25;30.957,24;3722230772428;32.326,59;3502014289676;32.095,72;4924545320857;30.787,37;814365946144;31.502,35;452299869652;30.899,66;4658810867687
2015-04-26;30.957,24;3722230772428;32.326,59;3502014289676;32.095,72;4924545320857;30.787,37;814365946144;31.502,35;452299869652;30.899,66;4658810867687
2015-04-27;30.934,49;3718685557416;32.295,31;3499775165290;32.077,13;4921469418318;30.757,33;813625895824;31.486,10;452102320787;30.881,78;4656083714182
2015-04-28;30.953,06;3720572474898;32.305,91;3499829724649;32.088,08;4923651191292;30.766,57;813916700345;31.497,72;452115006665;30.896,39;4658412807926
2015-04-29;30.830,38;3704683795878;32.175,45;3485030202465;31.965,62;4904494812288;30.649,04;810864220142;31.393,34;450609191941;30.775,26;4640304685637
2015-04-30;30.700,57;3688017709276;32.042,77;3474819411146;31.838,02;4876936211292;30.537,52;807921329846;31.277,37;448470001895;30.640,79;4608616501482
2015-05-01;30.700,57;3688017709276;32.042,77;3474819411146;31.838,02;4876936211292;30.537,52;807921329846;31.277,37;448470001895;30.640,79;4608616501482
2015-05-02;30.700,57;3688017709276;32.042,77;3474819411146;31.838,02;4876936211292;30.537,52;807921329846;31.277,37;448470001895;30.640,79;4608616501482
2015-05-03;30.700,57;3688017709276;32.042,77;3474819411146;31.838,02;4876936211292;30.537,52;807921329846;31.277,37;448470001895;30.640,79;4608616501482
2015-05-04;30.716,71;3683219549267;32.067,50;3481242762478;31.859,94;4878540459404;30.544,13;806807293100;31.286,96;446078694136;30.657,14;4608437433784
2015-05-05;30.853,43;3700968437696;32.211,49;3496566980272;32.001,74;4899717352448;30.688,96;810941370373;31.412,05;447926119400;30.783,70;4627921698244
2015-05-06;30.695,00;3682110312558;32.037,11;3476553484424;31.843,34;4875855992377;30.544,29;807066961406;31.274,75;448977147600;30.622,97;4603738657855
2015-05-07;30.548,12;3664652415208;31.884,11;3459551026275;31.684,68;4851517084570;30.401,60;803534161866;31.138,34;447147369209;30.465,97;4580351084060
2015-05-08;30.520,57;3662200913774;31.854,08;3457833533480;31.652,54;4846541599424;30.367,20;802787853226;31.101,89;446737457587;30.446,92;4577654643017
2015-05-09;30.520,57;3662200913774;31.854,08;3457833533480;31.652,54;4846541599424;30.367,20;802787853226;31.101,89;446737457587;30.446,92;4577654643017
2015-05-10;30.520,57;3662200913774;31.854,08;3457833533480;31.652,54;4846541599424;30.367,20;802787853226;31.101,89;446737457587;30.446,92;4577654643017
2015-05-11;30.567,15;3666863253392;31.929,41;3466240702502;31.711,96;4856290477455;30.437,33;805834476739;31.172,90;447634504021;30.521,04;4589292906297
